"disease" "model" "type" "term" "effect" "lo95" "hi95" "p.value" "cases" "n" "names" "class" "p_val"
"1" "p130896" "Model2" "logistic" "(Intercept)" 0.00408566414744364 0.00126365576354726 0.0129630426571166 1.97196004533413e-20 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 3.38437642780471e-19
"2" "p130896" "Model2" "logistic" "time_day" 0.983844342433509 0.943503201574627 1.02586767568342 0.445266814610519 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.713362119556876
"3" "p130896" "Model2" "logistic" "sex1" 0.578710798150752 0.450774906390009 0.738538934473931 1.37353376895152e-05 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.000120888581075028
"4" "p130896" "Model2" "logistic" "age_recruitment" 0.981368495311832 0.967372001076535 0.995666857467693 0.0105045197518105 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.0554719446893687
"5" "p130896" "Model2" "logistic" "PC1" 0.993546733162671 0.987594176070824 0.997299085342664 0.00678764443833484 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.0388309825576406
"6" "p130896" "Model2" "logistic" "PC2" 1.0080797243569 0.997343191971573 1.03428471255616 0.351309032079005 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.635503690440677
"7" "p130896" "Model2" "logistic" "PC3" 1.00844040160553 0.989559556280858 1.05030215632799 0.550017440689041 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.794919943227424
"8" "p130896" "Model2" "logistic" "PC4" 1.00829990122846 0.994247647936099 1.02685006270841 0.302390427801177 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.58974724058383
"9" "p130896" "Model2" "logistic" "PC5" 1.00433956531297 0.988828019537114 1.01948567830154 0.577651812706872 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.810128640292682
"10" "p130896" "Model2" "logistic" "PC6" 0.998057471375945 0.965260288919766 1.02837649992353 0.888380487089787 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.967382287696269
"11" "p130896" "Model2" "logistic" "PC7" 1.01616147014836 0.985325022740654 1.05051050819359 0.317000164661579 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.601161914475619
"12" "p130896" "Model2" "logistic" "PC8" 0.978995293678802 0.943646685821158 1.01106365309832 0.219344810062278 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.517457773566164
"13" "p130896" "Model2" "logistic" "PC9" 1.04197049188211 1.01183070437844 1.07617105649286 0.00887912256632579 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.0478079815041777
"14" "p130896" "Model2" "logistic" "PC10" 1.00953911923343 0.974313382110414 1.04783243715854 0.604075594694165 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.825794956075437
"15" "p130896" "Model2" "logistic" "PC11" 0.973419222541431 0.936881166528361 1.00577099982833 0.134288397673285 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.399086515163247
"16" "p130896" "Model2" "logistic" "PC12" 0.991559703286099 0.944141042388619 1.03251549762037 0.710159634723964 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.882223474657143
"17" "p130896" "Model2" "logistic" "PC13" 1.02683166005093 0.960383778311655 1.09688207187972 0.431302225924318 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.707515392854856
"18" "p130896" "Model2" "logistic" "PC14" 1.00572350244924 0.970309964031663 1.04236249734666 0.754741183025076 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.894038563277562
"19" "p130896" "Model2" "logistic" "PC15" 1.03114114738362 0.978719842570862 1.09343351288562 0.285637565962719 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.574784113563022
"20" "p130896" "Model2" "logistic" "PC16" 1.01542860987224 0.973597034258806 1.05856491665978 0.47318609319762 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.734937223937028
"21" "p130896" "Model2" "logistic" "PC17" 1.01174748464514 0.960076891873779 1.05543224443286 0.630012954888188 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.840629530671994
"22" "p130896" "Model2" "logistic" "PC18" 1.01960520027708 0.978616844522859 1.06213670000015 0.35272268378615 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.636384027382895
"23" "p130896" "Model2" "logistic" "PC19" 0.987353578865588 0.947442054983523 1.02869075068342 0.544252718690186 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.79133272680826
"24" "p130896" "Model2" "logistic" "PC20" 0.970015786163578 0.930996323300654 1.01059858397436 0.145783142623595 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.417000530879574
"25" "p130896" "Model2" "logistic" "BMI" 1.05279917714829 1.03099867551668 1.07408105744356 8.29535789554842e-07 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 8.07767829119715e-06
"26" "p130896" "Model2" "logistic" "smoking1" 1.05266692367495 0.799544168624118 1.37937495879731 0.711781513258013 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 0.882223474657143
"27" "p130896" "Model2" "logistic" "smoking2" 2.4151358347626 1.76231242738395 3.27318820139565 2.23092613694572e-08 288 52242 "Recurrent depression" "1. Neuro-psychiatric" 2.33821495116525e-07
